sample_id,sample_barcode,collection_label,analysis,project,site_code,transect_name,site_name,collection_date,distance,collection_time,sample_type,habitat,host,trophic,site_type,metadata,lat,long,processing,notes
WMEA_02815_An_M6,02815,CoralType1A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02816_An_M6,02816,CoralType1B-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02817_An_M6,02817,CoralType1C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02818_An_M6,02818,CoralType2A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02819_An_M6,02819,CoralType2B-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02820_An_M6,02820,CoralType2C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02821_An_M6,02821,CoralType3A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02822_An_M6,02822,CoralType3B-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02823_An_M6,02823,CoralType3C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Coral,Marine,Animal,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02824_No_M6,02824,SedimentA-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,NA,NA,MarineSediment,Marine,Nonhost,Environmental,Core Waimea,,21.648838,-158.065666,Weigh,
WMEA_02825_No_M6,02825,SedimentB-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,NA,NA,MarineSediment,Marine,Nonhost,Environmental,Core Waimea,,21.648838,-158.065666,Weigh,
WMEA_02826_No_M6,02826,SedimentC-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,NA,NA,MarineSediment,Marine,Nonhost,Environmental,Core Waimea,,21.648838,-158.065666,Weigh,
WMEA_02839_Pl_M6,02839,Limu1A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Limu,Marine,Plant,PrimaryProducer,Core Waimea,Galaxaura?,21.64884,-158.06567,FreezeDry,
WMEA_02841_Pl_M6,02841,Limu1C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Limu,Marine,Plant,PrimaryProducer,Core Waimea,Galaxaura?,21.64884,-158.06567,FreezeDry,
WMEA_02843_Pl_M6,02843,Limu2B-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Limu,Marine,Plant,PrimaryProducer,Core Waimea,Orange algae,21.64884,-158.06567,FreezeDry,
WMEA_02844_Pl_M6,02844,Limu2C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Limu,Marine,Plant,PrimaryProducer,Core Waimea,Orange algae,21.64884,-158.06567,FreezeDry,
WMEA_02848_Pl_M6,02848,Limu4A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Limu,Marine,Plant,PrimaryProducer,Core Waimea,Red/brown clump algae,21.64884,-158.06567,FreezeDry,
WMEA_02853_Pl_M6,02853,Limu5C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,Limu,Marine,Plant,PrimaryProducer,Core Waimea,Dictyota,21.64884,-158.06567,FreezeDry,
WMEA_02857_Pl_M6,02857,CCAType2A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,CCA,Marine,Plant,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02858_Pl_M6,02858,CCAType2B-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,CCA,Marine,Plant,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02859_Pl_M6,02859,CCAType2C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,CCA,Marine,Plant,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02860_Pl_M6,02860,CCAType3A-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,CCA,Marine,Plant,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02861_Pl_M6,02861,CCAType3B-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,CCA,Marine,Plant,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_02862_Pl_M6,02862,CCAType3C-M6,MSandDNA,Keck,M6,SharksCove,SharksCove,20190621,Yes,NA,CCA,Marine,Plant,PrimaryProducer,Core Waimea,Collected by Chris Wall,21.64884,-158.06567,FreezeDry,
WMEA_03234_No_M6,03234,M6 Shallow,MSandDNA,Keck,M6,SharksCove,SharksCove,20191621,NA,NA,WaterSaline,Marine,Nonhost,Environmental,Core Waimea,marine water,21.648838,-158.065666,,
WMEA_03239_No_M6,03239,M6 Deep,MSandDNA,Keck,M6,SharksCove,SharksCove,20191621,NA,NA,WaterSaline,Marine,Nonhost,Environmental,Core Waimea,marine water,21.64883800,-158.065666,,
WMEA_03078_An_1,03078,Mosquito,DNA,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03079_An_1,03079,Mosquito,DNA,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03080_An_1,03080,Mosquito,DNA,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03081_An_1,03081,Mosquito,DNA,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03082_An_1,03082,Mosquito,MS,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03083_An_1,03083,Mosquito,MS,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03084_An_1,03084,Mosquito,MS,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03085_An_1,03085,Mosquito,MS,Supertransect,01,STAboveFall,STAboveFalls,20190619,0m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63032801,-158.042535,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03087_An_5,03087,Mosquito,DNA,Supertransect,05,STAboveFall,STAboveFalls,20190619,400m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63076999,-158.039635,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03088_An_5,03088,Mosquito,DNA,Supertransect,05,STAboveFall,STAboveFalls,20190619,400m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63076999,-158.039635,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03089_An_5,03089,Mosquito,DNA,Supertransect,05,STAboveFall,STAboveFalls,20190619,400m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63076999,-158.039635,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03090_An_5,03090,Mosquito,MS,Supertransect,05,STAboveFall,STAboveFalls,20190619,400m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63076999,-158.039635,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03091_An_5,03091,Mosquito,MS,Supertransect,05,STAboveFall,STAboveFalls,20190619,400m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63076999,-158.039635,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03092_An_5,03092,Mosquito,MS,Supertransect,05,STAboveFall,STAboveFalls,20190619,400m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63076999,-158.039635,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03093_An_7,03093,Mosquito,DNA,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03094_An_7,03094,Mosquito,DNA,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03095_An_7,03095,Mosquito,DNA,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03096_An_7,03096,Mosquito,DNA,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03097_An_7,03097,Mosquito,MS,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03098_An_7,03098,Mosquito,MS,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03099_An_7,03099,Mosquito,MS,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_03100_An_7,03100,Mosquito,MS,Supertransect,07,STAboveFall,STAboveFalls,20190619,600m,NA,Mosquito,Terrestrial,Animal,Carnivore,Transect,Aedes albopictus F non-blooded,21.63038702,-158.038093,NA,Collected by Mel and identified by Medeiros Lab
WMEA_01996_No_1,01996,SoilShallow,MS,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Ship to Dorrestein lab,
WMEA_01997_No_1,01997,SoilShallow,DNA,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Transfer to extraction tube,
WMEA_01998_No_1,01998,SoilDeep,MS,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Ship to Dorrestein lab,
WMEA_01999_No_1,01999,SoilDeep,DNA,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Transfer to extraction tube,
WMEA_02000_No_1,02000,Water,MS,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Ship to Dorrestein lab,
WMEA_02001_No_1,02001,Water,DNA,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Transfer to extraction tube,
WMEA_02002_No_1,02002,Sediment,MS,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Ship to Dorrestein lab,
WMEA_02003_No_1,02003,Sediment,DNA,SuperTransect,01,STAboveFalls,STAboveFalls1,20190619,0m,9:58,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63032801,-158.042535,Transfer to extraction tube,
WMEA_02004_No_2,02004,SoilShallow,MS,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Ship to Dorrestein lab,
WMEA_02005_No_2,02005,SoilShallow,DNA,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Transfer to extraction tube,
WMEA_02006_No_2,02006,SoilDeep,MS,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Ship to Dorrestein lab,
WMEA_02007_No_2,02007,SoilDeep,DNA,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Transfer to extraction tube,
WMEA_02008_No_2,02008,Water,MS,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Ship to Dorrestein lab,
WMEA_02009_No_2,02009,Water,DNA,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Transfer to extraction tube,
WMEA_02010_No_2,02010,Sediment,MS,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,Sediment,Riverine,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Ship to Dorrestein lab,
WMEA_02011_No_2,02011,Sediment,DNA,SuperTransect,02,STAboveFalls,STAboveFalls2,20190619,100m,10:33,Sediment,Riverine,Nonhost,Environmental,Transect,,21.62954497,-158.041995,Transfer to extraction tube,
WMEA_02012_No_3,02012,SoilShallow,MS,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.629377,-158.04093,Ship to Dorrestein lab,
WMEA_02013_No_3,02013,SoilShallow,DNA,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.629377,-158.04093,Transfer to extraction tube,
WMEA_02014_No_3,02014,SoilDeep,MS,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.629377,-158.04093,Ship to Dorrestein lab,
WMEA_02015_No_3,02015,SoilDeep,DNA,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.629377,-158.04093,Transfer to extraction tube,
WMEA_02016_No_3,02016,Water,MS,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.629377,-158.04093,Ship to Dorrestein lab,
WMEA_02017_No_3,02017,Water,DNA,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.629377,-158.04093,Transfer to extraction tube,
WMEA_02018_No_3,02018,Sediment,MS,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,Sediment,Riverine,Nonhost,Environmental,Transect,,21.629377,-158.04093,Ship to Dorrestein lab,
WMEA_02019_No_3,02019,Sediment,DNA,SuperTransect,03,STAboveFalls,STAboveFalls3,20190619,200m,10:51,Sediment,Riverine,Nonhost,Environmental,Transect,,21.629377,-158.04093,Transfer to extraction tube,
WMEA_02020_No_4,02020,SoilShallow,MS,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Ship to Dorrestein lab,
WMEA_02021_No_4,02021,SoilShallow,DNA,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Transfer to extraction tube,
WMEA_02022_No_4,02022,SoilDeep,MS,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Ship to Dorrestein lab,
WMEA_02023_No_4,02023,SoilDeep,DNA,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Transfer to extraction tube,
WMEA_02024_No_4,02024,Water,MS,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Ship to Dorrestein lab,
WMEA_02025_No_4,02025,Water,DNA,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Transfer to extraction tube,
WMEA_02026_No_4,02026,Sediment,MS,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Ship to Dorrestein lab,
WMEA_02027_No_4,02027,Sediment,DNA,SuperTransect,04,STAboveFalls,STAboveFalls4,20190619,300m,11:10,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63011402,-158.040342,Transfer to extraction tube,
WMEA_02028_No_5,02028,SoilShallow,MS,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Ship to Dorrestein lab,
WMEA_02029_No_5,02029,SoilShallow,DNA,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Transfer to extraction tube,
WMEA_02030_No_5,02030,SoilDeep,MS,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Ship to Dorrestein lab,
WMEA_02031_No_5,02031,SoilDeep,DNA,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Transfer to extraction tube,
WMEA_02032_No_5,02032,Water,MS,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Ship to Dorrestein lab,
WMEA_02033_No_5,02033,Water,DNA,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Transfer to extraction tube,
WMEA_02034_No_5,02034,Sediment,MS,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Ship to Dorrestein lab,
WMEA_02035_No_5,02035,Sediment,DNA,SuperTransect,05,STAboveFalls,STAboveFalls5,20190619,400m,11:31,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63076999,-158.039635,Transfer to extraction tube,
WMEA_02036_No_6,02036,SoilShallow,MS,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Ship to Dorrestein lab,
WMEA_02037_No_6,02037,SoilShallow,DNA,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Transfer to extraction tube,
WMEA_02038_No_6,02038,SoilDeep,MS,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Ship to Dorrestein lab,
WMEA_02039_No_6,02039,SoilDeep,DNA,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Transfer to extraction tube,
WMEA_02040_No_6,02040,Water,MS,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Ship to Dorrestein lab,
WMEA_02041_No_6,02041,Water,DNA,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Transfer to extraction tube,
WMEA_02042_No_6,02042,Sediment,MS,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Ship to Dorrestein lab,
WMEA_02043_No_6,02043,Sediment,DNA,SuperTransect,06,STAboveFalls,STAboveFalls6,20190619,500m,12:04,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63110199,-158.03871,Transfer to extraction tube,
WMEA_02044_No_7,02044,SoilShallow,MS,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Ship to Dorrestein lab,
WMEA_02045_No_7,02045,SoilShallow,DNA,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Transfer to extraction tube,
WMEA_02046_No_7,02046,SoilDeep,MS,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Ship to Dorrestein lab,
WMEA_02047_No_7,02047,SoilDeep,DNA,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,SoilDeep,Terrestrial,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Transfer to extraction tube,
WMEA_02048_No_7,02048,Water,MS,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Ship to Dorrestein lab,
WMEA_02049_No_7,02049,Water,DNA,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,WaterNonSaline,Riverine,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Transfer to extraction tube,
WMEA_02050_No_7,02050,Sediment,MS,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Ship to Dorrestein lab,
WMEA_02051_No_7,02051,Sediment,DNA,SuperTransect,07,STAboveFalls,STAboveFalls7,20190619,600m,12:25,Sediment,Riverine,Nonhost,Environmental,Transect,,21.63038702,-158.038093,Transfer to extraction tube,
WMEA_02052_No_8,02052,SoilShallow,MS,SuperTransect,08,STAboveFalls,STAboveFalls8,20190619,700m,12:50,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.62945797,-158.037734,Ship to Dorrestein lab,
WMEA_02053_No_8,02053,SoilShallow,DNA,SuperTransect,08,STAboveFalls,STAboveFalls8,20190619,700m,12:50,SoilShallow,Terrestrial,Nonhost,Environmental,Transect,,21.62945797,-158.037734,Transfer to extraction tube,
